"AddressID";"Customer_CustomerID";"Postcode";"ValidUntilDate";"IsCurrentAddress";"version";"date_from";"date_to"
0;0;"";"";0;1;"";""
1;1;"839";"";1;1;"1900-01-01";"2200-01-01"
2;2;"800";"";1;1;"1900-01-01";"2200-01-01"
3;3;"841";"";1;1;"1900-01-01";"2200-01-01"
4;4;"815";"";1;1;"1900-01-01";"2200-01-01"
5;5;"810";"";1;1;"1900-01-01";"2200-01-01"
6;6;"815";"";1;1;"1900-01-01";"2200-01-01"
7;7;"810";"";1;1;"1900-01-01";"2200-01-01"
8;8;"810";"";1;1;"1900-01-01";"2200-01-01"
9;9;"812";"2015-11-14";0;1;"1900-01-01";"2019-02-02"
10;9;"810";"";1;2;"2019-02-02";"2200-01-01"
11;10;"812";"";1;1;"1900-01-01";"2200-01-01"
12;11;"839";"";1;1;"1900-01-01";"2200-01-01"
13;12;"810";"";1;1;"1900-01-01";"2200-01-01"
14;13;"815";"";1;1;"1900-01-01";"2200-01-01"
15;14;"810";"";1;1;"1900-01-01";"2200-01-01"
16;15;"815";"";1;1;"1900-01-01";"2200-01-01"
17;16;"835";"";1;1;"1900-01-01";"2200-01-01"
18;17;"800";"";1;1;"1900-01-01";"2200-01-01"
19;18;"810";"";1;1;"1900-01-01";"2200-01-01"
20;19;"810";"";1;1;"1900-01-01";"2200-01-01"
21;20;"810";"";1;1;"1900-01-01";"2200-01-01"
22;21;"810";"";1;1;"1900-01-01";"2200-01-01"
23;22;"812";"";1;1;"1900-01-01";"2200-01-01"
24;23;"810";"";1;1;"1900-01-01";"2200-01-01"
25;24;"812";"";1;1;"1900-01-01";"2200-01-01"
26;25;"810";"";1;1;"1900-01-01";"2200-01-01"
27;26;"841";"";1;1;"1900-01-01";"2200-01-01"
28;27;"810";"";1;1;"1900-01-01";"2200-01-01"
29;28;"810";"";1;1;"1900-01-01";"2200-01-01"
30;29;"810";"";1;1;"1900-01-01";"2200-01-01"
31;30;"812";"";1;1;"1900-01-01";"2200-01-01"
32;31;"812";"";1;1;"1900-01-01";"2200-01-01"
33;32;"810";"";1;1;"1900-01-01";"2200-01-01"
34;33;"812";"";1;1;"1900-01-01";"2200-01-01"
35;34;"812";"";1;1;"1900-01-01";"2200-01-01"
36;35;"812";"";1;1;"1900-01-01";"2200-01-01"
37;36;"812";"";1;1;"1900-01-01";"2200-01-01"
38;37;"812";"";1;1;"1900-01-01";"2200-01-01"
39;38;"810";"";1;1;"1900-01-01";"2200-01-01"
40;39;"812";"";1;1;"1900-01-01";"2200-01-01"
41;40;"812";"";1;1;"1900-01-01";"2200-01-01"
42;41;"810";"";1;1;"1900-01-01";"2200-01-01"
43;42;"810";"";1;1;"1900-01-01";"2200-01-01"
44;43;"810";"";1;1;"1900-01-01";"2200-01-01"
45;44;"810";"";1;1;"1900-01-01";"2200-01-01"
46;45;"812";"";1;1;"1900-01-01";"2200-01-01"
47;46;"835";"";1;1;"1900-01-01";"2200-01-01"
48;47;"810";"";1;1;"1900-01-01";"2200-01-01"
49;48;"810";"";1;1;"1900-01-01";"2200-01-01"
50;49;"835";"";1;1;"1900-01-01";"2200-01-01"
51;50;"815";"";1;1;"1900-01-01";"2200-01-01"
52;51;"812";"";1;1;"1900-01-01";"2200-01-01"
53;52;"810";"";1;1;"1900-01-01";"2200-01-01"
54;53;"812";"";1;1;"1900-01-01";"2200-01-01"
55;54;"810";"";1;1;"1900-01-01";"2200-01-01"
56;55;"800";"";1;1;"1900-01-01";"2200-01-01"
57;56;"812";"2016-04-24";0;1;"1900-01-01";"2019-02-02"
58;56;"835";"";1;2;"2019-02-02";"2200-01-01"
59;57;"810";"";1;1;"1900-01-01";"2200-01-01"
60;58;"812";"";1;1;"1900-01-01";"2200-01-01"
61;59;"810";"";1;1;"1900-01-01";"2200-01-01"
62;60;"810";"";1;1;"1900-01-01";"2200-01-01"
63;61;"812";"";1;1;"1900-01-01";"2200-01-01"
64;62;"810";"";1;1;"1900-01-01";"2200-01-01"
65;63;"812";"2017-01-16";0;1;"1900-01-01";"2019-02-02"
66;63;"835";"";1;2;"2019-02-02";"2200-01-01"
67;64;"810";"";1;1;"1900-01-01";"2200-01-01"
68;65;"835";"";1;1;"1900-01-01";"2200-01-01"
69;66;"812";"";1;1;"1900-01-01";"2200-01-01"
70;67;"815";"";1;1;"1900-01-01";"2200-01-01"
71;68;"812";"";1;1;"1900-01-01";"2200-01-01"
72;69;"812";"";1;1;"1900-01-01";"2200-01-01"
73;70;"812";"2015-08-10";0;1;"1900-01-01";"2019-02-02"
74;70;"800";"";1;2;"2019-02-02";"2200-01-01"
