"EmployeeSaleID";"Time_TimeID";"Employee_EmployeeID";"TotalSale";"Commission"
1;1;1;453.97;86.25
2;1;3;1029.42;72.06
3;1;5;182.09;5.46
4;1;6;404.68;16.19
5;1;7;2371.01;474.2
6;1;8;3760.95;451.31
7;1;9;821.7;147.91
8;1;11;505.8;25.29
9;2;1;115.65;21.97
10;2;2;2155.01;172.4
11;2;3;949.9;66.49
12;2;4;1795.95;161.64
13;2;7;2274.77;454.95
14;2;8;1286.72;154.41
15;2;9;704.49;126.81
16;2;10;981.41;68.7
17;2;11;1912.35;95.62
18;3;1;517.53;98.33
19;3;2;606.07;48.49
20;3;3;443.89;31.07
21;3;5;131.78;3.95
22;3;6;68.86;2.75
23;3;7;1745.87;349.17
24;3;8;3060.28;367.23
25;3;9;520.49;93.69
26;3;11;340.82;17.04
27;4;1;1505.43;286.03
28;4;2;2358.86;188.71
29;4;3;2169.14;151.84
30;4;6;3322.28;132.89
31;5;1;238.31;45.28
32;5;2;77.71;6.22
33;5;3;254.37;17.81
34;5;4;726.54;65.39
35;5;6;422.14;16.89
36;5;7;3026.75;605.35
37;5;8;3001.42;360.17
38;5;9;236.65;42.6
39;5;11;703.44;35.17
40;6;1;466.71;88.67
41;6;2;290.65;23.25
42;6;3;170.62;11.94
43;6;4;580.64;52.26
44;6;5;817.09;24.51
45;6;6;250.28;10.01
46;6;7;845.51;169.1
47;6;8;975.1;117.01
48;6;9;107.15;19.29
49;6;10;541.09;37.88
50;6;11;201.91;10.1
51;7;1;146.98;27.93
52;7;2;163.86;13.11
53;7;3;1336.13;93.53
54;7;4;3.19;0.29
55;7;5;195.46;5.86
56;7;6;1558.64;62.35
57;7;7;817.75;163.55
58;7;8;1432.93;171.95
59;7;9;1588.03;285.85
60;7;11;667.61;33.38
61;8;1;370.67;70.43
62;8;2;452.37;36.19
63;8;3;478.93;33.53
64;8;4;950.8;85.57
65;8;5;1086.0;32.58
66;8;6;892.45;35.7
67;8;7;860.65;172.13
68;8;8;810.26;97.23
69;8;9;839.39;151.09
70;8;10;219.24;15.35
71;8;11;1154.78;57.74
72;9;1;411.37;78.16
73;9;2;502.19;40.18
74;9;3;180.7;12.65
75;9;5;21.17;0.64
76;9;6;124.97;5.0
77;9;7;1675.14;335.03
78;9;8;3153.19;378.38
79;9;9;830.07;149.41
80;9;11;338.92;16.95
81;10;1;172.82;32.84
82;10;2;240.66;19.25
83;10;3;1495.94;104.72
84;10;4;13.46;1.21
85;10;5;691.38;20.74
86;10;6;492.71;19.71
87;10;7;507.17;101.43
88;10;8;712.29;85.47
89;10;10;3159.98;221.2
90;10;11;681.23;34.06
91;11;1;2782.42;528.66
92;11;2;709.43;56.75
93;11;3;2786.24;195.04
94;11;6;2106.27;84.25
95;12;1;6.02;1.14
96;12;2;1129.98;90.4
97;12;3;868.7;60.81
98;12;5;759.81;22.79
99;12;6;298.67;11.95
100;12;7;321.6;64.32
101;12;8;5.18;0.62
102;12;9;325.11;58.52
103;12;10;2079.37;145.56
104;13;1;414.01;78.66
105;13;2;173.71;13.9
106;13;3;165.14;11.56
107;13;4;1063.66;95.73
108;13;5;81.49;2.44
109;13;6;1849.45;73.98
110;13;7;2393.97;478.79
111;13;8;1639.29;196.71
112;14;2;285.78;22.86
113;14;3;606.96;42.49
114;14;5;391.8;11.75
115;14;6;1012.58;40.5
116;14;7;1611.39;322.28
117;14;8;898.47;107.82
118;14;9;592.65;106.68
119;14;10;1008.59;70.6
120;14;11;1042.36;52.12
121;15;1;174.25;33.11
122;15;2;1246.44;99.72
123;15;3;1287.2;90.1
124;15;5;367.94;11.04
125;15;6;341.82;13.67
126;15;7;4457.47;891.49
127;15;8;2149.38;257.93
128;15;9;2062.07;371.17
129;15;11;714.22;35.71
130;16;1;1166.47;221.63
131;16;3;804.56;56.32
132;16;4;195.48;17.59
133;16;6;325.52;13.02
134;16;7;888.68;177.74
135;16;8;1830.22;219.63
136;16;9;879.31;158.28
137;16;10;1268.44;88.79
138;16;11;151.86;7.59
139;17;1;345.71;65.68
140;17;2;435.93;34.87
141;17;4;243.6;21.92
142;17;6;764.99;30.6
143;17;7;1692.23;338.45
144;17;8;826.92;99.23
145;17;9;56.71;10.21
146;17;11;875.09;43.75
147;18;1;894.74;170.0
148;18;2;1845.1;147.61
149;18;3;2523.26;176.63
150;18;6;2329.88;93.2
151;19;1;1585.23;301.19
152;19;2;112.07;8.97
153;19;3;395.26;27.67
154;19;4;425.39;38.29
155;19;6;321.0;12.84
156;19;7;1938.5;387.7
157;19;8;2708.92;325.07
158;19;9;639.56;115.12
159;19;11;956.13;47.81
160;20;1;1161.8;220.74
161;20;2;476.59;38.13
162;20;5;1120.85;33.63
163;20;6;906.81;36.27
164;20;7;1080.5;216.1
165;20;8;2644.97;317.4
166;20;10;1085.54;75.99
167;20;11;465.46;23.27
168;21;1;232.16;44.11
169;21;2;210.59;16.85
170;21;3;76.36;5.35
171;21;4;319.44;28.75
172;21;5;425.68;12.77
173;21;6;1153.91;46.16
174;21;7;1857.91;371.58
175;21;8;2462.37;295.48
176;21;9;86.57;15.58
177;21;11;184.34;9.22
178;22;1;581.27;110.44
179;22;2;171.43;13.71
180;22;3;33.63;2.35
181;22;4;612.78;55.15
182;22;5;231.81;6.95
183;22;6;932.08;37.28
184;22;7;2586.71;517.34
185;22;8;1013.1;121.57
186;22;9;1457.98;262.44
187;22;10;924.22;64.7
188;22;11;1328.99;66.45
189;23;1;1542.82;293.14
190;23;2;367.91;29.43
191;23;3;888.0;62.16
192;23;4;368.25;33.14
193;23;6;1110.2;44.41
194;23;7;1826.08;365.22
195;23;8;1371.81;164.62
196;23;9;2074.86;373.47
197;23;11;722.78;36.14
198;24;1;373.07;70.88
199;24;3;1330.34;93.12
200;24;4;463.11;41.68
201;24;5;259.85;7.8
202;24;7;1920.5;384.1
203;24;8;1788.89;214.67
204;24;9;211.89;38.14
205;24;10;1110.55;77.74
206;24;11;1441.28;72.06
207;25;1;1262.05;239.79
208;25;2;2095.39;167.63
209;25;3;2408.06;168.56
210;25;6;835.5;33.42
211;26;1;1297.7;246.56
212;26;2;1562.03;124.96
213;26;4;310.11;27.91
214;26;5;672.06;20.16
215;26;6;825.72;33.03
216;26;7;1619.47;323.89
217;26;8;3184.24;382.11
218;26;10;767.56;53.73
219;26;11;834.19;41.71
220;27;2;737.32;58.99
221;27;3;1458.32;102.08
222;27;5;712.21;21.37
223;27;6;2401.73;96.07
224;27;7;2167.21;433.44
225;27;8;20.8;2.5
226;27;9;806.92;145.25
227;27;11;899.16;44.96
228;28;1;38.29;7.28
229;28;2;513.34;41.07
230;28;3;291.02;20.37
231;28;4;495.06;44.56
232;28;5;312.75;9.38
233;28;6;133.56;5.34
234;28;7;404.04;80.81
235;28;8;472.12;56.65
236;28;9;1444.07;259.93
237;28;10;673.97;47.18
238;28;11;334.44;16.72
239;29;1;1077.24;204.68
240;29;3;144.92;10.14
241;29;4;377.13;33.94
242;29;6;733.28;29.33
243;29;7;1741.31;348.26
244;29;8;2908.92;349.07
245;29;9;1068.85;192.39
246;29;11;1197.63;59.88
247;30;1;489.48;93.0
248;30;2;790.27;63.22
249;30;3;505.79;35.41
250;30;4;599.08;53.92
251;30;5;941.59;28.25
252;30;6;1666.8;66.67
253;30;7;1997.48;399.5
254;30;8;1564.86;187.78
255;30;9;844.02;151.92
256;30;10;704.77;49.33
257;30;11;1627.61;81.38
258;31;1;1648.98;313.31
259;31;2;228.43;18.27
260;31;3;164.24;11.5
261;31;4;109.62;9.87
262;31;6;881.04;35.24
263;31;7;2786.56;557.31
264;31;8;1572.57;188.71
265;31;9;390.57;70.3
266;31;11;891.56;44.58
267;32;1;3375.76;641.39
268;32;2;2089.92;167.19
269;32;3;1259.2;88.14
270;32;6;2117.35;84.69
271;33;1;98.66;18.75
272;33;2;89.02;7.12
273;33;3;68.77;4.81
274;33;4;208.68;18.78
275;33;5;1401.12;42.03
276;33;7;1864.25;372.85
277;33;8;3256.06;390.73
278;33;9;2357.96;424.43
279;33;11;728.7;36.43
280;34;1;617.61;117.35
281;34;2;1556.44;124.52
282;34;3;402.06;28.14
283;34;4;459.68;41.37
284;34;6;1160.53;46.42
285;34;7;448.22;89.64
286;34;8;1121.28;134.55
287;34;9;525.14;94.53
288;34;10;456.57;31.96
289;34;11;660.83;33.04
290;35;1;189.61;36.03
291;35;2;390.39;31.23
292;35;3;329.66;23.08
293;35;5;471.94;14.16
294;35;6;34.16;1.37
295;35;7;1338.16;267.63
296;35;8;1804.52;216.54
297;35;11;126.67;6.33
298;36;1;817.03;155.24
299;36;2;558.12;44.65
300;36;3;313.78;21.96
301;36;4;574.94;51.74
302;36;5;108.22;3.25
303;36;8;1474.62;176.95
304;36;9;632.06;113.77
305;36;10;1269.59;88.87
306;36;11;352.82;17.64
307;37;1;455.63;86.57
308;37;2;46.73;3.74
309;37;3;1387.78;97.14
310;37;5;858.92;25.77
311;37;6;992.7;39.71
312;37;7;2003.18;400.64
313;37;8;1235.39;148.25
314;37;9;161.85;29.13
315;37;11;847.87;42.39
316;38;1;329.89;62.68
317;38;2;70.12;5.61
318;38;3;2293.4;160.54
319;38;4;1016.19;91.46
320;38;5;549.41;16.48
321;38;6;924.66;36.99
322;38;7;1776.43;355.29
323;38;8;933.44;112.01
324;38;9;620.62;111.71
325;38;10;781.1;54.68
326;38;11;769.91;38.5
327;39;1;2785.11;529.17
328;39;2;1829.72;146.38
329;39;3;1789.17;125.24
330;39;6;2012.81;80.51
331;40;1;516.53;98.14
332;40;2;599.25;47.94
333;40;3;952.69;66.69
334;40;4;33.81;3.04
335;40;5;74.27;2.23
336;40;6;979.45;39.18
337;40;7;943.78;188.76
338;40;8;437.87;52.54
339;40;9;551.15;99.21
340;40;10;1615.73;113.1
341;40;11;673.37;33.67
342;41;1;524.02;99.56
343;41;2;979.14;78.33
344;41;3;800.02;56.0
345;41;5;608.15;18.24
346;41;6;732.56;29.3
347;41;7;2793.64;558.73
348;41;8;3422.32;410.68
349;41;9;761.36;137.04
350;41;11;1389.26;69.46
351;42;1;2339.05;444.42
352;42;2;401.95;32.16
353;42;3;849.68;59.48
354;42;4;126.6;11.39
355;42;5;156.4;4.69
356;42;6;701.53;28.06
357;42;7;1808.6;361.72
358;42;8;939.78;112.77
359;42;10;1783.81;124.87
360;42;11;115.19;5.76
361;43;1;1126.73;214.08
362;43;2;646.06;51.68
363;43;3;25.73;1.8
364;43;4;826.56;74.39
365;43;5;297.61;8.93
366;43;6;1405.29;56.21
367;43;7;1971.97;394.39
368;43;8;1870.19;224.42
369;43;9;270.27;48.65
370;43;11;1224.11;61.21
371;44;1;819.76;155.75
372;44;2;687.49;55.0
373;44;3;508.54;35.6
374;44;5;680.53;20.42
375;44;6;5.44;0.22
376;44;7;966.28;193.26
377;44;8;1305.69;156.68
378;44;9;1315.75;236.83
379;44;10;631.05;44.17
380;44;11;783.73;39.19
381;45;1;958.79;182.17
382;45;2;2071.48;165.72
383;45;3;467.87;32.75
384;45;5;87.77;2.63
385;45;6;510.98;20.44
386;45;7;1879.57;375.91
387;45;8;1857.51;222.9
388;45;11;624.63;31.23
389;46;1;733.36;139.34
390;46;2;1194.66;95.57
391;46;3;3333.05;233.31
392;46;6;2159.79;86.39
393;47;1;430.37;81.77
394;47;2;137.15;10.97
395;47;3;127.82;8.95
396;47;4;97.42;8.77
397;47;6;561.96;22.48
398;47;7;1802.71;360.54
399;47;8;1773.46;212.82
400;47;9;1006.5;181.17
401;47;11;429.17;21.46
402;48;1;1399.75;265.95
403;48;2;1938.71;155.1
404;48;3;328.67;23.01
405;48;4;471.48;42.43
406;48;5;463.27;13.9
407;48;6;328.22;13.13
408;48;7;1083.43;216.69
409;48;8;1820.63;218.48
410;48;9;934.22;168.16
411;48;10;1161.65;81.32
412;48;11;952.25;47.61
413;49;1;1379.57;262.12
414;49;2;174.92;13.99
415;49;4;1341.43;120.73
416;49;6;571.55;22.86
417;49;7;2280.36;456.07
418;49;8;1094.02;131.28
419;49;9;474.71;85.45
420;49;11;275.27;13.76
421;50;1;997.46;189.52
422;50;2;1085.83;86.87
423;50;3;1228.25;85.98
424;50;4;123.85;11.15
425;50;5;358.58;10.76
426;50;6;753.36;30.13
427;50;7;1825.4;365.08
428;50;8;805.42;96.65
429;50;9;628.06;113.05
430;50;10;1847.49;129.32
431;50;11;677.12;33.86
432;51;1;195.45;37.14
433;51;2;516.14;41.29
434;51;3;1117.49;78.22
435;51;4;175.5;15.8
436;51;6;317.76;12.71
437;51;7;1642.54;328.51
438;51;8;1033.52;124.02
439;51;9;911.15;164.01
440;51;11;472.41;23.62
441;52;1;199.03;37.82
442;52;3;1739.18;121.74
443;52;4;642.53;57.83
444;52;5;675.91;20.28
445;52;6;730.06;29.2
446;52;7;345.0;69.0
447;52;8;948.93;113.87
448;52;9;820.22;147.64
449;52;10;1783.72;124.86
450;53;1;2308.79;438.67
451;53;2;4232.95;338.64
452;53;3;1167.38;81.72
453;53;6;2029.99;81.2
454;54;1;1011.94;192.27
455;54;2;1101.76;88.14
456;54;3;357.25;25.01
457;54;4;72.41;6.52
458;54;5;1267.39;38.02
459;54;7;2062.28;412.46
460;54;8;2071.29;248.55
461;54;10;1472.91;103.1
462;54;11;22.84;1.14
463;55;1;1378.82;261.98
464;55;2;489.69;39.18
465;55;3;109.0;7.63
466;55;4;506.2;45.56
467;55;5;964.99;28.95
468;55;6;490.06;19.6
469;55;7;2221.95;444.39
470;55;8;1499.35;179.92
471;55;11;80.67;4.03
472;56;1;765.11;145.37
473;56;2;1119.99;89.6
474;56;3;1474.48;103.21
475;56;5;357.69;10.73
476;56;6;262.41;10.5
477;56;7;2864.24;572.85
478;56;8;738.23;88.59
479;56;9;963.8;173.48
480;56;10;1311.98;91.84
481;56;11;468.42;23.42
482;57;1;702.32;133.44
483;57;2;1686.45;134.92
484;57;4;337.88;30.41
485;57;6;145.48;5.82
486;57;7;2890.36;578.07
487;57;8;1653.29;198.39
488;57;9;1211.41;218.05
489;57;11;540.78;27.04
490;58;1;636.06;120.85
491;58;2;463.43;37.07
492;58;3;782.05;54.74
493;58;4;356.5;32.08
494;58;6;619.51;24.78
495;58;7;617.69;123.54
496;58;8;2898.27;347.79
497;58;9;632.3;113.81
498;58;10;2244.0;157.08
499;58;11;1717.8;85.89
500;59;1;561.41;106.67
501;59;4;1293.66;116.43
502;59;6;659.67;26.39
503;59;7;1976.62;395.32
504;59;8;2849.13;341.9
505;59;9;1146.7;206.41
