"ProductID";"PartNumber";"Description"
1;"30cb01c";"cndl 30mm caballer 8-shot red comet (28s)"
2;"30cb01m";"cndl 30mm caballer 8-shot red mine (28s)"
3;"30cb02c";"cndl 30mm caballer 8-shot orange comet (28s)"
4;"30cb02m";"cndl 30mm caballer 8-shot orange mine (28s)"
5;"30cb03c";"cndl 30mm caballer 8-shot yellow comet (28s)"
6;"30cb03m";"cndl 30mm caballer 8-shot yellow mine (28s)"
7;"30cb04c";"cndl 30mm caballer 8-shot green comet (28s)"
8;"30cb04m";"cndl 30mm caballer 8-shot green mine (28s)"
9;"30cb05c";"cndl 30mm caballer 8-shot blue comet (28s)"
10;"30cb05m";"cndl 30mm caballer 8-shot blue mine (28s)"
11;"30cb06c";"cndl 30mm caballer 8-shot purple comet (28s)"
12;"30cb06m";"cndl 30mm caballer 8-shot purple mine (28s)"
13;"30cb07c";"cndl 30mm caballer 8-shot violet comet (28s)"
14;"30cb07m";"cndl 30mm caballer 8-shot violet mine (28s)"
15;"40cb03";"cndl 40mm caballer 1-shot fuschia comet w/kamuro tail"
16;"40cb04";"cndl 40mm caballer 1-shot cyan comet w/kamuro tail"
17;"40cb05";"cndl 40mm caballer 1-shot violet comet w/gold willow tail"
18;"40cb06";"cndl 40mm caballer 1-shot red comet w/ tail"
19;"40cb07";"cndl 40mm caballer 1-shot orange comet"
20;"40cb09";"cndl 40mm caballer 1-shot tangerine comet"
21;"40cb10";"cndl 40mm caballer 1-shot orange mine"
22;"60pf01";"cndl 60mm caballer 3sec 6-shot Zafarancho Candle"
23;"art5e02";"5"" green ring w/red pistil w/silver crackling"
24;"cb01/ldc045";"ufo (girandola) 1-step no report 5.5sec"
25;"cb03";"ufo (girandola) white, red, or grn, 2-step no report 5.5sec"
26;"cb505";"5"" mine golden willow to mc aerial mine"
27;"cb510";"5"" mine white spangle to purple aerial mine"
28;"csm01";"fntn 2"" 15-ft white fire flower w/bright purple microstars fountain-30sec"
29;"csm02";"fntn 2"" 15-ft white fire flower w/multicolor microstars fountain-30sec"
30;"csm601";"6"" multi-blooming chrys waterfall"
31;"csp1r01";"ck fan 13s 1-row  red crossettes w/green strobe mine"
32;"csp1r03";"ck fan 13s 1-row  silver tail w/red strobe mine"
33;"csp1r04";"ck fan 13s 1-row  silver strobe willow tail w/red strobe mine"
34;"csp1r05";"ck fan 13s 1-row  red strobe willow tail w/silver strobe mine"
35;"csp1r06";"ck fan 13s 1-row  deep gold chrys tail w/green strobe mine"
36;"csp2501";"2.5"" mine deep (blood) red"
37;"csp2502";"2.5"" silver crown"
38;"csp401";"4"" color moving stars (red & green)"
39;"csp403";"4"" deep (blood) red peony"
40;"csp601";"6"" two stage brocade crown crossette"
41;"csp603";"6"" silver dragons cylinder w/salutes"
42;"csp604";"6"" flower willow waterfall"
43;"cspck01";"ck Z 90s gold strobe willow w/big blue pistil w/blue mine"
44;"cspck02";"ck Z 90s color tip whirl"
45;"cspck03";"ck W 90s red tail to red strobe, green tail to ti (crackling) flower"
46;"cspck04-q";"ck Z 100s purple & green tails to white strobe"
47;"cspck05-q";"ck fan 130s red strobe mine to silver whirl"
48;"cspck06";"ck fan(5part) 300s red crossette, silver whirl & blue stars"
49;"cspck07";"ck fan(7part) 300s deep gold & peachblow (magenta) tails"
50;"cspck09";"ck 100s ti salutues w/red & blue tails"
51;"cspck12";"ck 49s golden tail to golden brocade (25 sec)"
52;"cspck16";"ck 100s brocade crown tail to brocade crown w/peach red pist (30 sec)"
53;"cspck22";"ck Z 100s blue tail to brocade crown w/blue stars (30 sec)"
54;"cspck23";"ck fan 100s red, green, blue tails to white glittering waterfalls (20 sec)"
