"CostID";"Product_ProductID";"UnitCost";"version";"ValidFromDate";"ValidUntilDate";"IsCurrentCost"
0;0;0.0;1;"";"";0
1;60;0.34;1;"1900-01-01";"2015-04-04";0
2;61;0.55;1;"1900-01-01";"2015-06-18";0
3;62;0.73;1;"1900-01-01";"2015-04-04";0
4;63;76.42;1;"1900-01-01";"2015-04-04";0
5;64;66.77;1;"1900-01-01";"2015-04-04";0
6;65;64.14;1;"1900-01-01";"2015-04-04";0
7;618;32.85;1;"1900-01-01";"2015-04-04";0
8;619;56.02;1;"1900-01-01";"2015-04-04";0
9;620;59.43;1;"1900-01-01";"2015-04-04";0
10;621;65.64;1;"1900-01-01";"2015-04-05";0
11;622;94.68;1;"1900-01-01";"2015-04-05";0
12;623;86.98;1;"1900-01-01";"2015-04-05";0
13;624;79.75;1;"1900-01-01";"2015-04-05";0
14;700;71.34;1;"1900-01-01";"2015-04-05";0
15;701;3.18;1;"1900-01-01";"2015-04-05";0
16;702;3.47;1;"1900-01-01";"2015-04-05";0
17;703;6.72;1;"1900-01-01";"2015-04-05";0
18;704;11.24;1;"1900-01-01";"2015-04-05";0
19;706;14.6;1;"1900-01-01";"2015-04-05";0
20;705;13.07;1;"1900-01-01";"2015-04-05";0
21;707;34.09;1;"1900-01-01";"2015-04-05";0
22;479;0.71;1;"1900-01-01";"2015-04-05";0
23;471;1.09;1;"1900-01-01";"2015-04-05";0
24;953;1.95;1;"1900-01-01";"2015-04-05";0
25;1498;1.37;1;"1900-01-01";"2015-04-05";0
26;472;1.26;1;"1900-01-01";"2015-04-05";0
27;473;1.21;1;"1900-01-01";"2015-04-05";0
28;1499;1.92;1;"1900-01-01";"2015-04-05";0
29;973;3.1;1;"1900-01-01";"2015-04-05";0
30;974;2.04;1;"1900-01-01";"2015-04-05";0
31;992;7.22;1;"1900-01-01";"2015-04-05";0
32;142;4.68;1;"1900-01-01";"2015-04-05";0
33;650;4.1;1;"1900-01-01";"2015-04-06";0
34;993;5.95;1;"1900-01-01";"2015-04-06";0
35;1500;3.61;1;"1900-01-01";"2015-04-06";0
36;176;11.56;1;"1900-01-01";"2015-04-06";0
37;1509;9.11;1;"1900-01-01";"2015-04-06";0
38;1026;12.79;1;"1900-01-01";"2015-04-06";0
39;1510;11.94;1;"1900-01-01";"2015-04-06";0
40;1027;10.12;1;"1900-01-01";"2015-04-06";0
41;1024;14.34;1;"1900-01-01";"2015-04-06";0
42;1025;10.96;1;"1900-01-01";"2015-04-06";0
43;516;11.94;1;"1900-01-01";"2015-04-06";0
44;1028;15.74;1;"1900-01-01";"2015-04-06";0
45;1511;16.75;1;"1900-01-01";"2015-04-06";0
46;1144;27.21;1;"1900-01-01";"2015-04-06";0
47;1512;13.87;1;"1900-01-01";"2015-04-06";0
48;1145;26.42;1;"1900-01-01";"2015-04-06";0
49;1141;22.54;1;"1900-01-01";"2015-04-06";0
50;1142;19.58;1;"1900-01-01";"2015-04-06";0
51;1143;24.82;1;"1900-01-01";"2015-04-07";0
52;198;19.26;1;"1900-01-01";"2015-04-07";0
53;1146;24.04;1;"1900-01-01";"2015-04-07";0
54;1147;25.39;1;"1900-01-01";"2015-04-07";0
55;1148;24.8;1;"1900-01-01";"2015-04-07";0
56;524;17.37;1;"1900-01-01";"2015-04-07";0
57;526;30.47;1;"1900-01-01";"2015-04-07";0
58;1513;40.36;1;"1900-01-01";"2015-04-07";0
59;1514;38.51;1;"1900-01-01";"2015-04-07";0
60;1357;36.53;1;"1900-01-01";"2015-04-07";0
61;1351;47.4;1;"1900-01-01";"2015-04-07";0
62;1352;35.79;1;"1900-01-01";"2015-04-07";0
63;1353;40.5;1;"1900-01-01";"2015-04-08";0
64;1354;35.6;1;"1900-01-01";"2015-04-08";0
65;1355;39.92;1;"1900-01-01";"2015-04-08";0
66;1356;41.72;1;"1900-01-01";"2015-04-08";0
67;1358;40.17;1;"1900-01-01";"2015-04-08";0
68;1359;46.72;1;"1900-01-01";"2015-04-08";0
69;1360;43.26;1;"1900-01-01";"2015-04-08";0
70;1361;45.46;1;"1900-01-01";"2015-04-08";0
71;1362;33.26;1;"1900-01-01";"2015-06-20";0
72;1363;42.72;1;"1900-01-01";"2015-04-08";0
73;645;72.3;1;"1900-01-01";"2015-04-08";0
74;106;1.71;1;"1900-01-01";"2015-04-08";0
75;107;1.58;1;"1900-01-01";"2015-04-08";0
76;94;2.11;1;"1900-01-01";"2015-04-08";0
77;104;1.56;1;"1900-01-01";"2015-04-08";0
78;105;2.11;1;"1900-01-01";"2015-04-08";0
79;441;1.66;1;"1900-01-01";"2015-04-08";0
80;442;2.41;1;"1900-01-01";"2015-04-09";0
81;440;3.14;1;"1900-01-01";"2015-04-09";0
82;468;2.82;1;"1900-01-01";"2015-04-09";0
83;272;2.05;1;"1900-01-01";"2015-04-09";0
84;773;4.21;1;"1900-01-01";"2015-04-09";0
85;447;7.19;1;"1900-01-01";"2015-04-09";0
86;311;4.45;1;"1900-01-01";"2015-04-09";0
87;172;5.44;1;"1900-01-01";"2015-04-09";0
88;173;5.22;1;"1900-01-01";"2015-04-09";0
