"TimeID";"Day";"Week";"Month";"Season";"Quarter";"Year"
1;1;"Thursday";"January";"Summer";1;2015
2;2;"Friday";"January";"Summer";1;2015
3;3;"Saturday";"January";"Summer";1;2015
4;4;"Sunday";"January";"Summer";1;2015
5;5;"Monday";"January";"Summer";1;2015
6;6;"Tuesday";"January";"Summer";1;2015
7;7;"Wednesday";"January";"Summer";1;2015
8;8;"Thursday";"January";"Summer";1;2015
9;9;"Friday";"January";"Summer";1;2015
10;10;"Saturday";"January";"Summer";1;2015
11;11;"Sunday";"January";"Summer";1;2015
12;12;"Monday";"January";"Summer";1;2015
13;13;"Tuesday";"January";"Summer";1;2015
14;14;"Wednesday";"January";"Summer";1;2015
15;15;"Thursday";"January";"Summer";1;2015
16;16;"Friday";"January";"Summer";1;2015
17;17;"Saturday";"January";"Summer";1;2015
18;18;"Sunday";"January";"Summer";1;2015
19;19;"Monday";"January";"Summer";1;2015
20;20;"Tuesday";"January";"Summer";1;2015
21;21;"Wednesday";"January";"Summer";1;2015
22;22;"Thursday";"January";"Summer";1;2015
23;23;"Friday";"January";"Summer";1;2015
24;24;"Saturday";"January";"Summer";1;2015
25;25;"Sunday";"January";"Summer";1;2015
26;26;"Monday";"January";"Summer";1;2015
27;27;"Tuesday";"January";"Summer";1;2015
28;28;"Wednesday";"January";"Summer";1;2015
29;29;"Thursday";"January";"Summer";1;2015
30;30;"Friday";"January";"Summer";1;2015
31;31;"Saturday";"January";"Summer";1;2015
32;1;"Sunday";"February";"Summer";1;2015
33;2;"Monday";"February";"Summer";1;2015
34;3;"Tuesday";"February";"Summer";1;2015
35;4;"Wednesday";"February";"Summer";1;2015
36;5;"Thursday";"February";"Summer";1;2015
37;6;"Friday";"February";"Summer";1;2015
38;7;"Saturday";"February";"Summer";1;2015
39;8;"Sunday";"February";"Summer";1;2015
40;9;"Monday";"February";"Summer";1;2015
41;10;"Tuesday";"February";"Summer";1;2015
42;11;"Wednesday";"February";"Summer";1;2015
43;12;"Thursday";"February";"Summer";1;2015
44;13;"Friday";"February";"Summer";1;2015
